n,Factorial,Cube,Natural Log (ln),Log Base 2 (lg),Exponential (e^n),Power of 2 (2^n),ln(ln(n)),lg(lg(n)),n*lg(n),n*2^n
0,1.00e+000,0.00e+000,N/A,N/A,1.00e+000,1.00e+000,N/A,N/A,0.00e+000,0.00e+000
1,1.00e+000,1.00e+000,0.00e+000,0.00e+000,2.72e+000,2.00e+000,N/A,N/A,0.00e+000,2.00e+000
2,2.00e+000,8.00e+000,6.93e-001,1.00e+000,7.39e+000,4.00e+000,-3.67e-001,0.00e+000,2.00e+000,8.00e+000
3,6.00e+000,2.70e+001,1.10e+000,1.58e+000,2.01e+001,8.00e+000,9.40e-002,6.64e-001,4.75e+000,2.40e+001
4,2.40e+001,6.40e+001,1.39e+000,2.00e+000,5.46e+001,1.60e+001,3.27e-001,1.00e+000,8.00e+000,6.40e+001
5,1.20e+002,1.25e+002,1.61e+000,2.32e+000,1.48e+002,3.20e+001,4.76e-001,1.22e+000,1.16e+001,1.60e+002
6,7.20e+002,2.16e+002,1.79e+000,2.58e+000,4.03e+002,6.40e+001,5.83e-001,1.37e+000,1.55e+001,3.84e+002
7,5.04e+003,3.43e+002,1.95e+000,2.81e+000,1.10e+003,1.28e+002,6.66e-001,1.49e+000,1.97e+001,8.96e+002
8,4.03e+004,5.12e+002,2.08e+000,3.00e+000,2.98e+003,2.56e+002,7.32e-001,1.58e+000,2.40e+001,2.05e+003
9,3.63e+005,7.29e+002,2.20e+000,3.17e+000,8.10e+003,5.12e+002,7.87e-001,1.66e+000,2.85e+001,4.61e+003
10,3.63e+006,1.00e+003,2.30e+000,3.32e+000,2.20e+004,1.02e+003,8.34e-001,1.73e+000,3.32e+001,1.02e+004
11,3.99e+007,1.33e+003,2.40e+000,3.46e+000,5.99e+004,2.05e+003,8.75e-001,1.79e+000,3.81e+001,2.25e+004
12,4.79e+008,1.73e+003,2.48e+000,3.58e+000,1.63e+005,4.10e+003,9.10e-001,1.84e+000,4.30e+001,4.92e+004
13,6.23e+009,2.20e+003,2.56e+000,3.70e+000,4.42e+005,8.19e+003,9.42e-001,1.89e+000,4.81e+001,1.06e+005
14,8.72e+010,2.74e+003,2.64e+000,3.81e+000,1.20e+006,1.64e+004,9.70e-001,1.93e+000,5.33e+001,2.29e+005
15,1.31e+012,3.38e+003,2.71e+000,3.91e+000,3.27e+006,3.28e+004,9.96e-001,1.97e+000,5.86e+001,4.92e+005
16,2.09e+013,4.10e+003,2.77e+000,4.00e+000,8.89e+006,6.55e+004,1.02e+000,2.00e+000,6.40e+001,1.05e+006
17,3.56e+014,4.91e+003,2.83e+000,4.09e+000,2.42e+007,1.31e+005,1.04e+000,2.03e+000,6.95e+001,2.23e+006
18,6.40e+015,5.83e+003,2.89e+000,4.17e+000,6.57e+007,2.62e+005,1.06e+000,2.06e+000,7.51e+001,4.72e+006
19,1.22e+017,6.86e+003,2.94e+000,4.25e+000,1.78e+008,5.24e+005,1.08e+000,2.09e+000,8.07e+001,9.96e+006
20,2.43e+018,8.00e+003,3.00e+000,4.32e+000,4.85e+008,1.05e+006,1.10e+000,2.11e+000,8.64e+001,2.10e+007
21,N/A,9.26e+003,3.04e+000,4.39e+000,N/A,N/A,1.11e+000,2.13e+000,9.22e+001,N/A
22,N/A,1.06e+004,3.09e+000,4.46e+000,N/A,N/A,1.13e+000,2.16e+000,9.81e+001,N/A
23,N/A,1.22e+004,3.14e+000,4.52e+000,N/A,N/A,1.14e+000,2.18e+000,1.04e+002,N/A
24,N/A,1.38e+004,3.18e+000,4.58e+000,N/A,N/A,1.16e+000,2.20e+000,1.10e+002,N/A
25,N/A,1.56e+004,3.22e+000,4.64e+000,N/A,N/A,1.17e+000,2.22e+000,1.16e+002,N/A
26,N/A,1.76e+004,3.26e+000,4.70e+000,N/A,N/A,1.18e+000,2.23e+000,1.22e+002,N/A
27,N/A,1.97e+004,3.30e+000,4.75e+000,N/A,N/A,1.19e+000,2.25e+000,1.28e+002,N/A
28,N/A,2.20e+004,3.33e+000,4.81e+000,N/A,N/A,1.20e+000,2.27e+000,1.35e+002,N/A
29,N/A,2.44e+004,3.37e+000,4.86e+000,N/A,N/A,1.21e+000,2.28e+000,1.41e+002,N/A
30,N/A,2.70e+004,3.40e+000,4.91e+000,N/A,N/A,1.22e+000,2.29e+000,1.47e+002,N/A
31,N/A,2.98e+004,3.43e+000,4.95e+000,N/A,N/A,1.23e+000,2.31e+000,1.54e+002,N/A
32,N/A,3.28e+004,3.47e+000,5.00e+000,N/A,N/A,1.24e+000,2.32e+000,1.60e+002,N/A
33,N/A,3.59e+004,3.50e+000,5.04e+000,N/A,N/A,1.25e+000,2.33e+000,1.66e+002,N/A
34,N/A,3.93e+004,3.53e+000,5.09e+000,N/A,N/A,1.26e+000,2.35e+000,1.73e+002,N/A
35,N/A,4.29e+004,3.56e+000,5.13e+000,N/A,N/A,1.27e+000,2.36e+000,1.80e+002,N/A
36,N/A,4.67e+004,3.58e+000,5.17e+000,N/A,N/A,1.28e+000,2.37e+000,1.86e+002,N/A
37,N/A,5.07e+004,3.61e+000,5.21e+000,N/A,N/A,1.28e+000,2.38e+000,1.93e+002,N/A
38,N/A,5.49e+004,3.64e+000,5.25e+000,N/A,N/A,1.29e+000,2.39e+000,1.99e+002,N/A
39,N/A,5.93e+004,3.66e+000,5.29e+000,N/A,N/A,1.30e+000,2.40e+000,2.06e+002,N/A
40,N/A,6.40e+004,3.69e+000,5.32e+000,N/A,N/A,1.31e+000,2.41e+000,2.13e+002,N/A
41,N/A,6.89e+004,3.71e+000,5.36e+000,N/A,N/A,1.31e+000,2.42e+000,2.20e+002,N/A
42,N/A,7.41e+004,3.74e+000,5.39e+000,N/A,N/A,1.32e+000,2.43e+000,2.26e+002,N/A
43,N/A,7.95e+004,3.76e+000,5.43e+000,N/A,N/A,1.32e+000,2.44e+000,2.33e+002,N/A
44,N/A,8.52e+004,3.78e+000,5.46e+000,N/A,N/A,1.33e+000,2.45e+000,2.40e+002,N/A
45,N/A,9.11e+004,3.81e+000,5.49e+000,N/A,N/A,1.34e+000,2.46e+000,2.47e+002,N/A
46,N/A,9.73e+004,3.83e+000,5.52e+000,N/A,N/A,1.34e+000,2.47e+000,2.54e+002,N/A
47,N/A,1.04e+005,3.85e+000,5.55e+000,N/A,N/A,1.35e+000,2.47e+000,2.61e+002,N/A
48,N/A,1.11e+005,3.87e+000,5.58e+000,N/A,N/A,1.35e+000,2.48e+000,2.68e+002,N/A
49,N/A,1.18e+005,3.89e+000,5.61e+000,N/A,N/A,1.36e+000,2.49e+000,2.75e+002,N/A
50,N/A,1.25e+005,3.91e+000,5.64e+000,N/A,N/A,1.36e+000,2.50e+000,2.82e+002,N/A
51,N/A,1.33e+005,3.93e+000,5.67e+000,N/A,N/A,1.37e+000,2.50e+000,2.89e+002,N/A
52,N/A,1.41e+005,3.95e+000,5.70e+000,N/A,N/A,1.37e+000,2.51e+000,2.96e+002,N/A
53,N/A,1.49e+005,3.97e+000,5.73e+000,N/A,N/A,1.38e+000,2.52e+000,3.04e+002,N/A
54,N/A,1.57e+005,3.99e+000,5.75e+000,N/A,N/A,1.38e+000,2.52e+000,3.11e+002,N/A
55,N/A,1.66e+005,4.01e+000,5.78e+000,N/A,N/A,1.39e+000,2.53e+000,3.18e+002,N/A
56,N/A,1.76e+005,4.03e+000,5.81e+000,N/A,N/A,1.39e+000,2.54e+000,3.25e+002,N/A
57,N/A,1.85e+005,4.04e+000,5.83e+000,N/A,N/A,1.40e+000,2.54e+000,3.32e+002,N/A
58,N/A,1.95e+005,4.06e+000,5.86e+000,N/A,N/A,1.40e+000,2.55e+000,3.40e+002,N/A
59,N/A,2.05e+005,4.08e+000,5.88e+000,N/A,N/A,1.41e+000,2.56e+000,3.47e+002,N/A
60,N/A,2.16e+005,4.09e+000,5.91e+000,N/A,N/A,1.41e+000,2.56e+000,3.54e+002,N/A
61,N/A,2.27e+005,4.11e+000,5.93e+000,N/A,N/A,1.41e+000,2.57e+000,3.62e+002,N/A
62,N/A,2.38e+005,4.13e+000,5.95e+000,N/A,N/A,1.42e+000,2.57e+000,3.69e+002,N/A
63,N/A,2.50e+005,4.14e+000,5.98e+000,N/A,N/A,1.42e+000,2.58e+000,3.77e+002,N/A
64,N/A,2.62e+005,4.16e+000,6.00e+000,N/A,N/A,1.43e+000,2.58e+000,3.84e+002,N/A
65,N/A,2.75e+005,4.17e+000,6.02e+000,N/A,N/A,1.43e+000,2.59e+000,3.91e+002,N/A
66,N/A,2.87e+005,4.19e+000,6.04e+000,N/A,N/A,1.43e+000,2.60e+000,3.99e+002,N/A
67,N/A,3.01e+005,4.20e+000,6.07e+000,N/A,N/A,1.44e+000,2.60e+000,4.06e+002,N/A
68,N/A,3.14e+005,4.22e+000,6.09e+000,N/A,N/A,1.44e+000,2.61e+000,4.14e+002,N/A
69,N/A,3.29e+005,4.23e+000,6.11e+000,N/A,N/A,1.44e+000,2.61e+000,4.21e+002,N/A
70,N/A,3.43e+005,4.25e+000,6.13e+000,N/A,N/A,1.45e+000,2.62e+000,4.29e+002,N/A
71,N/A,3.58e+005,4.26e+000,6.15e+000,N/A,N/A,1.45e+000,2.62e+000,4.37e+002,N/A
72,N/A,3.73e+005,4.28e+000,6.17e+000,N/A,N/A,1.45e+000,2.63e+000,4.44e+002,N/A
73,N/A,3.89e+005,4.29e+000,6.19e+000,N/A,N/A,1.46e+000,2.63e+000,4.52e+002,N/A
74,N/A,4.05e+005,4.30e+000,6.21e+000,N/A,N/A,1.46e+000,2.63e+000,4.59e+002,N/A
75,N/A,4.22e+005,4.32e+000,6.23e+000,N/A,N/A,1.46e+000,2.64e+000,4.67e+002,N/A
76,N/A,4.39e+005,4.33e+000,6.25e+000,N/A,N/A,1.47e+000,2.64e+000,4.75e+002,N/A
77,N/A,4.57e+005,4.34e+000,6.27e+000,N/A,N/A,1.47e+000,2.65e+000,4.83e+002,N/A
78,N/A,4.75e+005,4.36e+000,6.29e+000,N/A,N/A,1.47e+000,2.65e+000,4.90e+002,N/A
79,N/A,4.93e+005,4.37e+000,6.30e+000,N/A,N/A,1.47e+000,2.66e+000,4.98e+002,N/A
80,N/A,5.12e+005,4.38e+000,6.32e+000,N/A,N/A,1.48e+000,2.66e+000,5.06e+002,N/A
81,N/A,5.31e+005,4.39e+000,6.34e+000,N/A,N/A,1.48e+000,2.66e+000,5.14e+002,N/A
82,N/A,5.51e+005,4.41e+000,6.36e+000,N/A,N/A,1.48e+000,2.67e+000,5.21e+002,N/A
83,N/A,5.72e+005,4.42e+000,6.38e+000,N/A,N/A,1.49e+000,2.67e+000,5.29e+002,N/A
84,N/A,5.93e+005,4.43e+000,6.39e+000,N/A,N/A,1.49e+000,2.68e+000,5.37e+002,N/A
85,N/A,6.14e+005,4.44e+000,6.41e+000,N/A,N/A,1.49e+000,2.68e+000,5.45e+002,N/A
86,N/A,6.36e+005,4.45e+000,6.43e+000,N/A,N/A,1.49e+000,2.68e+000,5.53e+002,N/A
87,N/A,6.59e+005,4.47e+000,6.44e+000,N/A,N/A,1.50e+000,2.69e+000,5.61e+002,N/A
88,N/A,6.81e+005,4.48e+000,6.46e+000,N/A,N/A,1.50e+000,2.69e+000,5.68e+002,N/A
89,N/A,7.05e+005,4.49e+000,6.48e+000,N/A,N/A,1.50e+000,2.70e+000,5.76e+002,N/A
90,N/A,7.29e+005,4.50e+000,6.49e+000,N/A,N/A,1.50e+000,2.70e+000,5.84e+002,N/A
91,N/A,7.54e+005,4.51e+000,6.51e+000,N/A,N/A,1.51e+000,2.70e+000,5.92e+002,N/A
92,N/A,7.79e+005,4.52e+000,6.52e+000,N/A,N/A,1.51e+000,2.71e+000,6.00e+002,N/A
93,N/A,8.04e+005,4.53e+000,6.54e+000,N/A,N/A,1.51e+000,2.71e+000,6.08e+002,N/A
94,N/A,8.31e+005,4.54e+000,6.55e+000,N/A,N/A,1.51e+000,2.71e+000,6.16e+002,N/A
95,N/A,8.57e+005,4.55e+000,6.57e+000,N/A,N/A,1.52e+000,2.72e+000,6.24e+002,N/A
96,N/A,8.85e+005,4.56e+000,6.58e+000,N/A,N/A,1.52e+000,2.72e+000,6.32e+002,N/A
97,N/A,9.13e+005,4.57e+000,6.60e+000,N/A,N/A,1.52e+000,2.72e+000,6.40e+002,N/A
98,N/A,9.41e+005,4.58e+000,6.61e+000,N/A,N/A,1.52e+000,2.73e+000,6.48e+002,N/A
99,N/A,9.70e+005,4.60e+000,6.63e+000,N/A,N/A,1.52e+000,2.73e+000,6.56e+002,N/A
100,N/A,1.00e+006,4.61e+000,6.64e+000,N/A,N/A,1.53e+000,2.73e+000,6.64e+002,N/A
