Block Size,Insertion Sort Time (ms),Selection Sort Time (ms)
100,0.00,0.00
200,0.00,0.00
300,0.00,0.00
400,0.00,1.00
500,0.00,0.00
600,0.00,0.00
700,0.00,0.00
800,0.00,1.00
900,0.00,1.00
1000,1.00,1.00
1100,1.00,2.00
1200,1.00,1.00
1300,1.00,2.00
1400,1.00,3.00
1500,1.00,2.00
1600,1.00,2.00
1700,2.00,3.00
1800,2.00,4.00
1900,2.00,4.00
2000,1.00,5.00
2100,3.00,5.00
2200,3.00,5.00
2300,2.00,6.00
2400,3.00,6.00
2500,4.00,7.00
2600,3.00,8.00
2700,4.00,9.00
2800,4.00,8.00
2900,4.00,9.00
3000,4.00,10.00
3100,4.00,11.00
3200,5.00,12.00
3300,5.00,12.00
3400,6.00,13.00
3500,7.00,13.00
3600,8.00,16.00
3700,7.00,16.00
3800,7.00,16.00
3900,8.00,16.00
4000,9.00,17.00
4100,9.00,18.00
4200,8.00,20.00
4300,9.00,19.00
4400,11.00,21.00
4500,10.00,21.00
4600,11.00,23.00
4700,13.00,23.00
4800,12.00,26.00
4900,13.00,25.00
5000,12.00,27.00
5100,13.00,27.00
5200,13.00,28.00
5300,15.00,28.00
5400,15.00,30.00
5500,15.00,32.00
5600,16.00,32.00
5700,17.00,34.00
5800,17.00,35.00
5900,19.00,35.00
6000,18.00,37.00
6100,18.00,38.00
6200,20.00,39.00
6300,20.00,41.00
6400,23.00,42.00
6500,22.00,43.00
6600,23.00,44.00
6700,23.00,47.00
6800,25.00,47.00
6900,24.00,49.00
7000,25.00,49.00
7100,28.00,50.00
7200,27.00,52.00
7300,27.00,54.00
7400,28.00,55.00
7500,29.00,57.00
7600,30.00,59.00
7700,31.00,59.00
7800,31.00,60.00
7900,32.00,62.00
8000,33.00,64.00
8100,33.00,66.00
8200,36.00,67.00
8300,35.00,70.00
8400,35.00,71.00
8500,36.00,73.00
8600,37.00,74.00
8700,38.00,75.00
8800,39.00,77.00
8900,40.00,79.00
9000,41.00,82.00
9100,42.00,83.00
9200,43.00,85.00
9300,42.00,87.00
9400,44.00,88.00
9500,45.00,91.00
9600,79.00,92.00
9700,47.00,95.00
9800,48.00,97.00
9900,49.00,98.00
10000,51.00,101.00
10100,51.00,102.00
10200,52.00,104.00
10300,53.00,106.00
10400,54.00,109.00
10500,55.00,111.00
10600,57.00,111.00
10700,57.00,115.00
10800,59.00,121.00
10900,61.00,120.00
11000,61.00,121.00
11100,63.00,124.00
11200,63.00,125.00
11300,64.00,127.00
11400,65.00,130.00
11500,67.00,131.00
11600,69.00,136.00
11700,67.00,138.00
11800,69.00,139.00
11900,72.00,143.00
12000,73.00,144.00
12100,74.00,148.00
12200,75.00,149.00
12300,75.00,151.00
12400,76.00,153.00
12500,77.00,157.00
12600,80.00,158.00
12700,80.00,161.00
12800,83.00,166.00
12900,83.00,167.00
13000,86.00,169.00
13100,86.00,172.00
13200,88.00,175.00
13300,88.00,177.00
13400,91.00,179.00
13500,91.00,182.00
13600,93.00,184.00
13700,92.00,188.00
13800,96.00,190.00
13900,97.00,192.00
14000,100.00,199.00
14100,99.00,199.00
14200,100.00,202.00
14300,106.00,204.00
14400,103.00,207.00
14500,105.00,210.00
14600,108.00,211.00
14700,109.00,216.00
14800,109.00,224.00
14900,118.00,221.00
15000,112.00,224.00
15100,115.00,229.00
15200,116.00,231.00
15300,116.00,233.00
15400,119.00,237.00
15500,122.00,240.00
15600,122.00,243.00
15700,122.00,247.00
15800,124.00,248.00
15900,128.00,252.00
16000,128.00,256.00
16100,129.00,258.00
16200,131.00,261.00
16300,131.00,279.00
16400,143.00,280.00
16500,138.00,273.00
16600,139.00,299.00
16700,146.00,286.00
16800,143.00,287.00
16900,147.00,289.00
17000,143.00,309.00
17100,153.00,303.00
17200,154.00,299.00
17300,151.00,310.00
17400,152.00,318.00
17500,153.00,306.00
17600,157.00,316.00
17700,164.00,320.00
17800,156.00,325.00
17900,185.00,340.00
18000,170.00,336.00
18100,167.00,333.00
18200,163.00,331.00
18300,167.00,334.00
18400,166.00,340.00
18500,168.00,341.00
18600,171.00,345.00
18700,176.00,453.00
18800,212.00,553.00
18900,240.00,486.00
19000,265.00,479.00
19100,229.00,466.00
19200,255.00,484.00
19300,286.00,522.00
19400,362.00,515.00
19500,278.00,531.00
19600,295.00,521.00
19700,270.00,469.00
19800,288.00,499.00
19900,262.00,514.00
20000,248.00,524.00
20100,289.00,573.00
20200,293.00,575.00
20300,343.00,632.00
20400,331.00,565.00
20500,289.00,531.00
20600,260.00,510.00
20700,269.00,531.00
20800,261.00,572.00
20900,297.00,550.00
21000,302.00,539.00
21100,280.00,560.00
21200,377.00,578.00
21300,300.00,659.00
21400,308.00,612.00
21500,304.00,560.00
21600,316.00,612.00
21700,290.00,568.00
21800,313.00,600.00
21900,330.00,579.00
22000,336.00,659.00
22100,343.00,692.00
22200,320.00,700.00
22300,307.00,621.00
22400,306.00,699.00
22500,339.00,728.00
22600,334.00,647.00
22700,320.00,631.00
22800,332.00,648.00
22900,388.00,670.00
23000,325.00,730.00
23100,342.00,709.00
23200,342.00,777.00
23300,372.00,688.00
23400,439.00,748.00
23500,407.00,781.00
23600,394.00,729.00
23700,436.00,769.00
23800,372.00,725.00
23900,383.00,766.00
24000,462.00,705.00
24100,424.00,695.00
24200,415.00,843.00
24300,378.00,787.00
24400,421.00,792.00
24500,371.00,832.00
24600,422.00,793.00
24700,408.00,923.00
24800,407.00,805.00
24900,379.00,879.00
25000,403.00,855.00
25100,400.00,840.00
25200,429.00,879.00
25300,518.00,842.00
25400,421.00,879.00
25500,469.00,857.00
25600,444.00,789.00
25700,457.00,960.00
25800,491.00,1030.00
25900,463.00,863.00
26000,453.00,984.00
26100,416.00,882.00
26200,459.00,920.00
26300,472.00,888.00
26400,421.00,932.00
26500,429.00,900.00
26600,513.00,895.00
26700,503.00,932.00
26800,538.00,1005.00
26900,466.00,962.00
27000,460.00,936.00
27100,444.00,1054.00
27200,459.00,1029.00
27300,509.00,1008.00
27400,509.00,971.00
27500,500.00,969.00
27600,494.00,1036.00
27700,527.00,974.00
27800,519.00,957.00
27900,535.00,990.00
28000,548.00,1176.00
28100,568.00,1168.00
28200,661.00,1125.00
28300,593.00,1089.00
28400,634.00,1104.00
28500,613.00,1135.00
28600,543.00,1050.00
28700,606.00,1068.00
28800,654.00,1239.00
28900,573.00,1130.00
29000,576.00,1090.00
29100,614.00,1126.00
29200,540.00,1104.00
29300,626.00,1132.00
29400,582.00,1288.00
29500,640.00,1217.00
29600,563.00,1248.00
29700,747.00,1267.00
29800,576.00,1298.00
29900,584.00,1044.00
30000,442.00,910.00
30100,446.00,934.00
30200,456.00,953.00
30300,460.00,968.00
30400,475.00,1530.00
30500,900.00,1503.00
30600,781.00,1556.00
30700,785.00,1486.00
30800,769.00,1406.00
30900,659.00,1585.00
31000,809.00,1647.00
31100,735.00,1543.00
31200,800.00,1508.00
31300,848.00,1607.00
31400,957.00,1529.00
31500,753.00,1714.00
31600,872.00,1464.00
31700,856.00,1560.00
31800,808.00,1567.00
31900,790.00,1609.00
32000,920.00,1580.00
32100,897.00,1602.00
32200,869.00,1744.00
32300,866.00,1550.00
32400,988.00,1607.00
32500,807.00,1649.00
32600,817.00,1655.00
32700,931.00,1753.00
32800,927.00,1289.00
32900,541.00,1094.00
33000,540.00,1096.00
33100,547.00,1133.00
33200,568.00,1144.00
33300,566.00,1139.00
33400,562.00,1144.00
33500,571.00,1149.00
33600,593.00,1314.00
33700,601.00,1911.00
33800,1318.00,1174.00
33900,570.00,1169.00
34000,579.00,1173.00
34100,579.00,1173.00
34200,603.00,1177.00
34300,587.00,1198.00
34400,593.00,1189.00
34500,593.00,1206.00
34600,607.00,1266.00
34700,629.00,1235.00
34800,618.00,1236.00
34900,609.00,1269.00
35000,611.00,1224.00
35100,607.00,1244.00
35200,644.00,1268.00
35300,629.00,1271.00
35400,629.00,1322.00
35500,627.00,1286.00
35600,634.00,1290.00
35700,635.00,1291.00
35800,651.00,1291.00
35900,658.00,1296.00
36000,647.00,1306.00
36100,651.00,1306.00
36200,658.00,1317.00
36300,659.00,1334.00
36400,656.00,1343.00
36500,683.00,1350.00
36600,666.00,1345.00
36700,673.00,1375.00
36800,693.00,1387.00
36900,720.00,1393.00
37000,694.00,1396.00
37100,704.00,1449.00
37200,712.00,1419.00
37300,699.00,1430.00
37400,723.00,1413.00
37500,715.00,1445.00
37600,707.00,1428.00
37700,723.00,1434.00
37800,710.00,1433.00
37900,713.00,1445.00
38000,735.00,1451.00
38100,728.00,1452.00
38200,725.00,1489.00
38300,750.00,1479.00
38400,744.00,1525.00
38500,743.00,1496.00
38600,738.00,1493.00
38700,750.00,1514.00
38800,753.00,1509.00
38900,775.00,1540.00
39000,780.00,1568.00
39100,789.00,1546.00
39200,766.00,1587.00
39300,774.00,1550.00
39400,778.00,1560.00
39500,770.00,1568.00
39600,780.00,1573.00
39700,809.00,1613.00
39800,801.00,1594.00
39900,800.00,1625.00
40000,828.00,1646.00
40100,791.00,1601.00
40200,822.00,1641.00
40300,814.00,1651.00
40400,838.00,1655.00
40500,816.00,1659.00
40600,832.00,1719.00
40700,835.00,1674.00
40800,840.00,1689.00
40900,884.00,1681.00
41000,852.00,1720.00
41100,846.00,1695.00
41200,850.00,1714.00
41300,852.00,1719.00
41400,865.00,1729.00
41500,879.00,1724.00
41600,864.00,1728.00
41700,897.00,1751.00
41800,871.00,1746.00
41900,877.00,1772.00
42000,876.00,1769.00
42100,884.00,1805.00
42200,894.00,1817.00
42300,918.00,1798.00
42400,907.00,1803.00
42500,899.00,1835.00
42600,928.00,1881.00
42700,926.00,1844.00
42800,912.00,1828.00
42900,915.00,1838.00
43000,954.00,1861.00
43100,932.00,1882.00
43200,949.00,1933.00
43300,959.00,1882.00
43400,937.00,1900.00
43500,941.00,1896.00
43600,950.00,1907.00
43700,965.00,1988.00
43800,977.00,1939.00
43900,971.00,1932.00
44000,965.00,1943.00
44100,967.00,1944.00
44200,996.00,1982.00
44300,1052.00,2073.00
44400,1007.00,2029.00
44500,1006.00,2030.00
44600,987.00,1999.00
44700,990.00,1992.00
44800,998.00,2008.00
44900,1047.00,2060.00
45000,1010.00,2090.00
45100,1032.00,2032.00
45200,1007.00,2086.00
45300,1056.00,2151.00
45400,1057.00,2056.00
45500,1029.00,2061.00
45600,1044.00,2069.00
45700,1046.00,2095.00
45800,1043.00,2093.00
45900,1048.00,2116.00
46000,1079.00,2121.00
46100,1060.00,2133.00
46200,1078.00,2138.00
46300,1077.00,2134.00
46400,1087.00,2152.00
46500,1086.00,2157.00
46600,1102.00,2172.00
46700,1084.00,2178.00
46800,1096.00,2186.00
46900,1105.00,2192.00
47000,1147.00,2198.00
47100,1107.00,2210.00
47200,1150.00,2230.00
47300,1116.00,2232.00
47400,1132.00,2244.00
47500,1125.00,2258.00
47600,1162.00,2257.00
47700,1147.00,2263.00
47800,1139.00,2282.00
47900,1187.00,2293.00
48000,1169.00,2300.00
48100,1240.00,2308.00
48200,1166.00,2326.00
48300,1169.00,2323.00
48400,1168.00,2337.00
48500,1174.00,2345.00
48600,1180.00,2350.00
48700,1220.00,2373.00
48800,1194.00,2380.00
48900,1190.00,2382.00
49000,1199.00,2385.00
49100,1212.00,2452.00
49200,1226.00,2423.00
49300,1214.00,2417.00
49400,1222.00,2424.00
49500,1235.00,2436.00
49600,1230.00,2452.00
49700,1239.00,2467.00
49800,1248.00,2469.00
49900,1243.00,2480.00
50000,1249.00,2489.00
50100,1260.00,2498.00
50200,1269.00,2515.00
50300,1284.00,2517.00
50400,1316.00,2528.00
50500,1277.00,2544.00
50600,1295.00,2566.00
50700,1294.00,2552.00
50800,1299.00,2566.00
50900,1309.00,2603.00
51000,1329.00,2631.00
51100,1353.00,2601.00
51200,1304.00,2603.00
51300,1300.00,2631.00
51400,1311.00,2618.00
51500,1310.00,2636.00
51600,1310.00,2640.00
51700,1347.00,2673.00
51800,1346.00,2660.00
51900,1327.00,2673.00
52000,1356.00,2696.00
52100,1355.00,2699.00
52200,1341.00,2700.00
52300,1400.00,2713.00
52400,1354.00,2728.00
52500,1412.00,2741.00
52600,1361.00,2755.00
52700,1381.00,2764.00
52800,1389.00,2773.00
52900,1378.00,2778.00
53000,1398.00,2784.00
53100,1388.00,2803.00
53200,1409.00,2823.00
53300,1458.00,2821.00
53400,1442.00,2973.00
53500,1475.00,2862.00
53600,1419.00,2861.00
53700,1480.00,2875.00
53800,1497.00,2872.00
53900,1429.00,2897.00
54000,1477.00,2896.00
54100,1444.00,2907.00
54200,1444.00,2954.00
54300,1497.00,2925.00
54400,1456.00,2936.00
54500,1462.00,2945.00
54600,1468.00,2964.00
54700,1500.00,2970.00
54800,1506.00,2990.00
54900,1489.00,3009.00
55000,1487.00,3007.00
55100,1494.00,3013.00
55200,1551.00,3064.00
55300,1624.00,3122.00
55400,1544.00,3079.00
55500,1538.00,3118.00
55600,1560.00,3084.00
55700,1560.00,3110.00
55800,1572.00,3187.00
55900,1599.00,3168.00
56000,1609.00,3137.00
56100,1592.00,3121.00
56200,1595.00,3155.00
56300,1583.00,3147.00
56400,1592.00,3166.00
56500,1599.00,3165.00
56600,1618.00,3176.00
56700,1642.00,3192.00
56800,1613.00,3215.00
56900,1648.00,3256.00
57000,1623.00,3222.00
57100,1662.00,3242.00
57200,1667.00,3248.00
57300,1680.00,3258.00
57400,1651.00,3276.00
57500,1693.00,3290.00
57600,1668.00,3294.00
57700,1702.00,3305.00
57800,1659.00,3315.00
57900,1675.00,3332.00
58000,1703.00,3354.00
58100,1696.00,3354.00
58200,1703.00,3372.00
58300,1692.00,3377.00
58400,1698.00,3380.00
58500,1698.00,3428.00
58600,1754.00,3550.00
58700,1739.00,3427.00
58800,1722.00,3438.00
58900,1710.00,3448.00
59000,1712.00,3491.00
59100,1736.00,3473.00
59200,1724.00,3488.00
59300,1738.00,3497.00
59400,1736.00,3504.00
59500,1773.00,3523.00
59600,1751.00,3531.00
59700,1832.00,3553.00
59800,1776.00,3555.00
59900,1770.00,3565.00
60000,1777.00,3582.00
60100,1801.00,3613.00
60200,1798.00,3600.00
60300,1791.00,3620.00
60400,1837.00,3680.00
60500,1805.00,3751.00
60600,1826.00,3654.00
60700,1865.00,3662.00
60800,1821.00,3671.00
60900,1825.00,3697.00
61000,1840.00,3692.00
61100,1840.00,3790.00
61200,1929.00,3750.00
61300,1876.00,3880.00
61400,1918.00,3775.00
61500,1912.00,3764.00
61600,1914.00,3785.00
61700,1894.00,3778.00
61800,1939.00,3808.00
61900,1907.00,3839.00
62000,1918.00,3813.00
62100,1939.00,3832.00
62200,1949.00,3841.00
62300,1926.00,3861.00
62400,1959.00,3935.00
62500,1937.00,3890.00
62600,1953.00,3928.00
62700,1936.00,3898.00
62800,1941.00,3908.00
62900,1957.00,3945.00
63000,2009.00,3992.00
63100,2006.00,3947.00
63200,1977.00,3958.00
63300,1971.00,3970.00
63400,2018.00,4050.00
63500,2028.00,4057.00
63600,2030.00,4017.00
63700,2015.00,4026.00
63800,2043.00,4036.00
63900,2035.00,4047.00
64000,2081.00,4068.00
64100,2042.00,4075.00
64200,2091.00,4091.00
64300,2067.00,4110.00
64400,2061.00,4121.00
64500,2076.00,4141.00
64600,2079.00,4148.00
64700,2091.00,4146.00
64800,2095.00,4160.00
64900,2107.00,4181.00
65000,2140.00,4211.00
65100,2106.00,4208.00
65200,2124.00,4233.00
65300,2151.00,4232.00
65400,2196.00,4320.00
65500,2131.00,4537.00
65600,2270.00,4530.00
65700,2251.00,4284.00
65800,2146.00,4289.00
65900,2191.00,4313.00
66000,2157.00,4313.00
66100,2192.00,4625.00
66200,2312.00,4414.00
66300,2240.00,4368.00
66400,2175.00,4368.00
66500,2181.00,4396.00
66600,2186.00,4432.00
66700,2206.00,4418.00
66800,2281.00,4436.00
66900,2205.00,4448.00
67000,2207.00,4554.00
67100,2303.00,4515.00
67200,2258.00,4582.00
67300,2309.00,4634.00
67400,2364.00,4687.00
67500,2348.00,4606.00
67600,2383.00,4551.00
67700,2386.00,4596.00
67800,2306.00,4571.00
67900,2324.00,4604.00
68000,2306.00,4596.00
68100,2302.00,4614.00
68200,2346.00,4620.00
68300,2362.00,4629.00
68400,2323.00,4654.00
68500,2326.00,4671.00
68600,2354.00,4684.00
68700,2381.00,4738.00
68800,2372.00,4715.00
68900,2362.00,4705.00
69000,2371.00,4729.00
69100,2409.00,4751.00
69200,2468.00,4959.00
69300,2409.00,4764.00
69400,2399.00,4791.00
69500,2453.00,4793.00
69600,2465.00,4854.00
69700,2457.00,4825.00
69800,2417.00,4856.00
69900,2450.00,4850.00
70000,2482.00,5066.00
70100,2563.00,5139.00
70200,2426.00,4910.00
70300,2592.00,5312.00
70400,2450.00,4935.00
70500,2512.00,4945.00
70600,2536.00,4943.00
70700,2452.00,4954.00
70800,2467.00,4960.00
70900,2492.00,4981.00
71000,2497.00,4995.00
71100,2524.00,5053.00
71200,2517.00,5276.00
71300,2606.00,5074.00
71400,2648.00,5076.00
71500,2514.00,5061.00
71600,2574.00,5085.00
71700,2528.00,5085.00
71800,2566.00,5124.00
71900,2586.00,5127.00
72000,2582.00,5141.00
72100,2554.00,5145.00
72200,2683.00,5173.00
72300,2632.00,5183.00
72400,2606.00,5195.00
72500,2591.00,5209.00
72600,2625.00,5240.00
72700,2602.00,5246.00
72800,2613.00,6273.00
72900,2704.00,5327.00
73000,2741.00,5298.00
73100,2724.00,5312.00
73200,2720.00,5324.00
73300,2655.00,5340.00
73400,2694.00,5343.00
73500,2685.00,5486.00
73600,2743.00,5378.00
73700,2717.00,5401.00
73800,2690.00,5413.00
73900,2699.00,5419.00
74000,2722.00,5426.00
74100,2754.00,5782.00
74200,2792.00,5724.00
74300,3033.00,5535.00
74400,2729.00,5494.00
74500,2731.00,5505.00
74600,2863.00,5503.00
74700,2807.00,5521.00
74800,2841.00,5558.00
74900,2766.00,5555.00
75000,2875.00,5585.00
75100,2880.00,5592.00
75200,2876.00,5615.00
75300,2806.00,5618.00
75400,2893.00,5628.00
75500,2805.00,5653.00
75600,2811.00,5653.00
75700,2834.00,5699.00
75800,2942.00,5692.00
75900,2845.00,5702.00
76000,2840.00,5722.00
76100,2849.00,5729.00
76200,2890.00,5757.00
76300,2996.00,5790.00
76400,2885.00,5836.00
76500,2883.00,5801.00
76600,2908.00,5803.00
76700,3018.00,5827.00
76800,2908.00,5853.00
76900,2916.00,5876.00
77000,2962.00,5940.00
77100,2951.00,6095.00
77200,2998.00,5922.00
77300,3918.00,7409.00
77400,4307.00,8089.00
77500,3436.00,6535.00
77600,3167.00,6273.00
77700,3179.00,6328.00
77800,3250.00,6633.00
77900,3574.00,6648.00
78000,3143.00,6388.00
78100,3207.00,6662.00
78200,3212.00,6799.00
78300,6953.00,7819.00
78400,3788.00,7521.00
78500,3893.00,7408.00
78600,3335.00,6636.00
78700,3216.00,6463.00
78800,3185.00,6611.00
78900,3224.00,6507.00
79000,3239.00,6561.00
79100,3233.00,6610.00
79200,3213.00,6555.00
79300,3251.00,6579.00
79400,3272.00,6574.00
79500,3383.00,6721.00
79600,3306.00,6687.00
79700,3355.00,6623.00
79800,3273.00,6725.00
79900,3322.00,6633.00
80000,3332.00,6697.00
80100,3298.00,6868.00
80200,3366.00,6673.00
80300,3323.00,6682.00
80400,3345.00,6771.00
80500,3373.00,6792.00
80600,3375.00,6839.00
80700,3380.00,6860.00
80800,3357.00,6847.00
80900,3367.00,6893.00
81000,3396.00,7919.00
81100,3669.00,6556.00
81200,3263.00,6554.00
81300,3353.00,6565.00
81400,3384.00,6556.00
81500,3355.00,7076.00
81600,3275.00,6609.00
81700,3313.00,6604.00
81800,3305.00,6630.00
81900,3303.00,6646.00
82000,3304.00,6668.00
82100,3317.00,6689.00
82200,3425.00,6707.00
82300,3332.00,6711.00
82400,3442.00,6737.00
82500,3352.00,6767.00
82600,3417.00,6753.00
82700,3442.00,6799.00
82800,3373.00,6825.00
82900,3383.00,6837.00
83000,3474.00,6824.00
83100,3431.00,6847.00
83200,3409.00,6878.00
83300,3443.00,6862.00
83400,3419.00,6897.00
83500,3471.00,6909.00
83600,3470.00,6930.00
83700,3468.00,6946.00
83800,3472.00,6943.00
83900,3466.00,7116.00
84000,3625.00,7041.00
84100,3609.00,7398.00
84200,3865.00,7193.00
84300,3764.00,7235.00
84400,3620.00,7269.00
84500,3805.00,7240.00
84600,3557.00,63383.00
84700,3563.00,7131.00
84800,3573.00,7123.00
84900,3554.00,7161.00
85000,3563.00,7322.00
85100,3724.00,7199.00
85200,3641.00,7941.00
85300,3647.00,7259.00
85400,3597.00,7240.00
85500,3705.00,7250.00
85600,3623.00,7253.00
85700,3645.00,7304.00
85800,3669.00,7305.00
85900,3640.00,7300.00
86000,3642.00,7344.00
86100,3670.00,7351.00
86200,3727.00,7352.00
86300,3715.00,7388.00
86400,3685.00,7389.00
86500,3689.00,7415.00
86600,3715.00,7442.00
86700,3727.00,7438.00
86800,3708.00,7489.00
86900,3808.00,7483.00
87000,3727.00,7498.00
87100,3757.00,7533.00
87200,3772.00,7544.00
87300,3766.00,7555.00
87400,3792.00,7636.00
87500,3807.00,7571.00
87600,3785.00,7608.00
87700,3907.00,7620.00
87800,3815.00,7629.00
87900,3885.00,7838.00
88000,3981.00,7890.00
88100,3870.00,9256.00
88200,5732.00,11461.00
88300,5675.00,12197.00
88400,3902.00,7737.00
88500,3970.00,7769.00
88600,3873.00,7770.00
88700,3976.00,7793.00
88800,3941.00,7837.00
88900,3988.00,7830.00
89000,3997.00,7859.00
89100,3931.00,7868.00
89200,3942.00,7887.00
89300,4171.00,7965.00
89400,3957.00,8030.00
89500,4025.00,7959.00
89600,4007.00,7964.00
89700,3999.00,7985.00
89800,4074.00,8059.00
89900,4069.00,8067.00
90000,4014.00,8052.00
90100,4022.00,8051.00
90200,4009.00,8055.00
90300,4048.00,8143.00
90400,4061.00,8093.00
90500,4038.00,8171.00
90600,4123.00,8130.00
90700,4079.00,8151.00
90800,4107.00,8323.00
90900,4110.00,8230.00
91000,4168.00,8295.00
91100,4693.00,8274.00
91200,4151.00,8307.00
91300,4239.00,8291.00
91400,4324.00,8297.00
91500,4167.00,8307.00
91600,4145.00,8308.00
91700,4135.00,8326.00
91800,4159.00,8377.00
91900,4158.00,8454.00
92000,4276.00,8420.00
92100,4187.00,8404.00
92200,4178.00,8483.00
92300,4268.00,8441.00
92400,4212.00,8459.00
92500,4273.00,8500.00
92600,4239.00,8497.00
92700,4319.00,8593.00
92800,4243.00,8545.00
92900,4455.00,8543.00
93000,4301.00,9205.00
93100,4376.00,8780.00
93200,4330.00,8724.00
93300,4401.00,11956.00
93400,7829.00,14212.00
93500,7111.00,12717.00
93600,6346.00,13042.00
93700,6437.00,12915.00
93800,6344.00,12877.00
93900,6319.00,12668.00
94000,6330.00,12781.00
94100,6063.00,12789.00
94200,6418.00,12772.00
94300,6819.00,12646.00
94400,6674.00,12916.00
94500,6223.00,12847.00
94600,6680.00,13337.00
94700,6624.00,13565.00
94800,7112.00,12234.00
94900,5119.00,16410.00
95000,8629.00,16875.00
95100,6322.00,15594.00
95200,8393.00,17341.00
95300,8671.00,16536.00
95400,8771.00,16843.00
95500,5178.00,16762.00
95600,8625.00,17457.00
95700,8658.00,16305.00
95800,9111.00,15666.00
95900,4721.00,9519.00
96000,4750.00,9174.00
96100,4574.00,9211.00
96200,4562.00,9208.00
96300,4638.00,9224.00
96400,4574.00,9252.00
96500,4640.00,9358.00
96600,4623.00,9278.00
96700,4599.00,9285.00
96800,4618.00,9331.00
96900,4628.00,9300.00
97000,4636.00,9322.00
97100,4654.00,9349.00
97200,4758.00,10304.00
97300,5194.00,10157.00
97400,7117.00,13122.00
97500,6686.00,13508.00
97600,4763.00,10425.00
97700,8569.00,16896.00
97800,7900.00,14682.00
97900,7239.00,15470.00
98000,7329.00,14857.00
98100,7029.00,14886.00
98200,7333.00,14651.00
98300,6995.00,14407.00
98400,7720.00,11383.00
98500,4855.00,9950.00
98600,5240.00,9959.00
98700,4800.00,9668.00
98800,4812.00,9693.00
98900,4818.00,9731.00
99000,4922.00,9760.00
99100,4899.00,9736.00
99200,4842.00,12964.00
99300,7126.00,14103.00
99400,7358.00,14619.00
99500,7220.00,14929.00
99600,7957.00,23048.00
99700,8260.00,14628.00
99800,7294.00,14613.00
99900,7301.00,16167.00
100000,7474.00,14579.00
