Block Size,QuickSort Random (ms),MergeSort Random (ms),QuickSort Best (ms),MergeSort Best (ms),QuickSort Worst (ms),MergeSort Worst (ms)
100,0,0,0,0,0,2.712
200,0,0,0,1.508,0,0
300,0,0,0,0,0,0
400,0,0,0,0,4.123,0.338
500,0,0,4.501,0,3.643,0
600,0,0,5.453,0,2.713,0
700,0,0,0,0,6.772,0
800,0,0,7.72,0,0,0
900,0,0,0,0,0,0
1000,0,0,7.703,0,2.006,0
1100,0,0,8.596,0,7.413,0
1200,0,2.377,7.317,0,6.881,0
1300,0,2.172,5.011,7.032,1.321,8.01
1400,0,9.107,7.641,0,7.793,0
1500,0,0,20.801,2.004,10.223,0
1600,0,0,34.882,0,30.601,0
1700,0,0,49.288,8.795,32.17,0
1800,0,0,57.62,0,23.985,8.318
1900,0,4.016,41.833,0,41.346,0
2000,0,0,56.271,8.918,27.086,3.75
2100,0,8.761,44.762,0,33.649,0
2200,0,0,49.365,8.191,37.867,3.843
2300,0,0,89.232,0,24.924,0
2400,0,0,74.292,0,24.297,0
2500,0,0,74.877,0,41.405,0.426
2600,0,7.103,58.101,0,41.351,0.357
2700,0,2.305,40.805,8.33,24.794,0
2800,0,2.003,58.932,1.502,23.786,8.257
2900,0,0,57.342,8.391,41.428,0
3000,0,0,67.445,1.502,31.924,3.322
3100,0,9.045,56.592,0,35.975,2.003
3200,0,0,70.519,2.003,41.073,0
3300,0,4.458,78.339,0,44.174,4.994
3400,0,9.012,73.258,0,50.479,0
3500,0,0,90.601,0,49.739,0
3600,0,4.491,83.878,0,49.733,0
3700,0,6.641,97.226,0,57.31,0
3800,0,8.073,107.605,0,98.652,9.07
3900,7.908,0.512,148.339,0,81.911,0
4000,0,6.083,98.965,0,67.148,0
4100,1.505,0.511,105.579,0,66.917,0
4200,0,8.11,114.856,8.326,75.868,8.036
4300,0,0,140.514,0,66.346,8.433
4400,2.01,4.419,105.714,0,66.843,0
4500,1.007,0,133.837,7.62,82.002,0
4600,0,0,115.311,8.324,90.148,0
4700,0,0,132.408,0,108.086,0
4800,8.572,0.894,163.633,1.09,80.871,8.121
4900,2.54,2.089,153.782,0,124.738,8.152
5000,0,5.145,158.013,8.393,83.714,8.368
5100,0,8.125,156.715,10.42,109.165,1.762
5200,0,8.363,173.095,0,124.958,0
5300,0,0,147.518,8.385,99.455,0
5400,0,0,181.524,8.146,100.142,0
5500,0,0,190.446,8.81,124.322,0
5600,0,5.226,206.737,7.994,139.93,7.81
5700,0,8.444,208.32,0,139.303,4.757
5800,0,6.645,193.608,8.419,165.867,8.278
5900,0,6.705,233.078,0,133.095,0
6000,0,0,207.763,0.525,165.209,0
6100,0,10.029,287.89,0,156.604,3.94
6200,0,9.278,263.267,0,165.258,6.016
6300,0,8.041,260.481,8.163,127.965,8.151
6400,8.516,0,307.042,0,174.694,0
6500,0,6.452,238.346,8.527,166.338,8.455
6600,0,10.466,361.648,7.671,173.786,6.263
6700,0,8.162,265.931,2.49,171.641,8.119
6800,0,0,271.125,2.516,166.164,8.748
6900,0,0,322.148,0,237.553,4.018
7000,7.813,0,442.11,0,345.612,8.858
7100,0,12.702,297.006,0,192.132,0
7200,7.424,0,297.221,0,179.388,0
7300,2.004,4.005,305.564,0,174.145,9.454
7400,0,7.94,308.626,0,205.539,0
7500,0,9.056,388.531,0,266.855,0
7600,0,12.609,382.9,8.73,227.659,0
7700,3.688,4.542,421.723,8.557,250.556,4.991
7800,0,2.97,371.298,17.938,719.536,16.889
7900,4.448,18.157,1052.76,17.23,683.855,17.01
8000,5.183,17.139,1138.25,14.514,818.397,16.682
8100,6.253,19.75,1114.42,8.817,363.569,13.421
8200,7.783,25.394,1291.03,15.449,795.299,19.532
8300,6.037,17.887,1168.06,0,287.101,0
8400,8.516,0,493.601,11.579,399.003,4.023
8500,0,9.757,615.335,8.162,423.623,8.531
8600,3.767,7.953,568.258,8.417,324.663,5.852
8700,0,8.423,518.668,0,411.164,12.136
8800,0,11.792,413.42,8.329,300.188,8.607
8900,0,8.712,478.862,7.798,360.602,16.454
9000,4.654,17.905,1694.38,15.749,964.589,12.873
9100,9.326,17.227,1439.24,15.596,804.153,0.304
9200,0,6.865,546.389,7.722,439.857,7.628
9300,3.787,5.495,574.816,8.408,382.361,8.505
9400,7.975,8.579,526.045,7.042,427.846,3.112
9500,4.625,0,514.264,0,353.987,8.609
9600,0,8.723,505.366,2.005,380.034,8.268
9700,0,8.705,696.106,13.03,534.642,8.276
9800,3.014,6.075,740.249,9.247,390.241,11.066
9900,3.087,4.18,572.787,8.272,398.774,4.359
10000,0,14.406,611.077,7.835,437.21,16.466
10100,5.21,8.741,654.306,12.159,364.55,8.242
10200,0,7.668,574.976,0,361.523,8.083
10300,3.996,8.219,561.495,8.236,362.021,8.469
10400,2.007,10.72,604.137,8.442,362.157,8.354
10500,0,8.23,560.784,8.283,397.151,0
10600,8.531,12.05,660.85,6.638,403.96,7.54
10700,5.025,8.495,640.186,7.199,406.803,6.718
10800,0,9.441,655.579,0,429.919,7.146
10900,0,12.347,633.515,8.843,417.485,8.153
11000,0,8.469,648.774,10.045,462.18,7.591
11100,0,11.992,637.322,1.341,494.062,8.02
11200,8.62,0.57,681.53,7.911,438.496,8.998
11300,0,8.229,692.727,8.388,428.947,8.342
11400,0,11.325,676.689,8.201,470.481,8.758
11500,2.008,6.018,690.266,8.498,444.625,10.247
11600,8.755,7.54,744.669,8.588,492.184,8.244
11700,0,22.315,704.881,0,548.851,8.507
11800,2.55,9.759,691.897,8.316,469.693,16.496
11900,10.779,10.187,693.123,8.273,549.425,6.087
12000,2.004,4.004,824.142,0.306,460.772,8.402
12100,2.01,6.018,726.884,7.865,559.319,6.564
12200,10.536,13.242,739.365,8.149,488.597,8.36
12300,1.73,6.719,797.662,11.847,524.988,4.857
12400,0,15.562,774.957,17.201,505.646,0
12500,7.363,13.342,788.303,8.339,558.952,8.035
12600,0,8.23,807.766,10.923,511.267,8.058
12700,7.116,7.591,835.523,0,558.494,11.167
12800,4.014,4.231,791.963,8.298,538.487,8.308
12900,2.003,9.765,809.791,10.208,543.612,0
13000,0,7.875,825.282,8.083,587.543,0
13100,7.615,8.98,882.976,8.585,619.107,8.802
13200,5.27,13.343,868.488,13.651,564.238,8.053
13300,3.885,7.996,887.495,7.401,630.137,8.597
13400,0,8.122,907.601,8.131,608.167,7.917
13500,10.31,14.933,890.194,0,594.392,1.502
13600,8.149,13.299,901.14,8.342,614.116,8.191
13700,0,16.981,1004.97,14.034,612.184,8.36
13800,0,17.899,906.351,8.596,635.098,8.285
13900,0,8.152,930.1,10.936,731.262,8.175
14000,1.506,12.517,1030.52,8.334,808.038,15.212
14100,8.126,19.163,977.352,12.308,705.997,16.311
14200,6.216,8.186,1007.03,10.802,687.551,7.849
14300,6.598,18.848,1167.8,12.802,749.194,0.306
14400,4.968,14.382,1092.61,20.444,741.692,8.113
14500,8.204,25.009,1100.77,8.209,753.935,11.984
14600,8.566,13.99,1006.41,8.142,680.275,8.56
14700,2.006,16.736,999.269,7.937,735.044,8.109
14800,8.438,14.331,1068.31,10.364,750.492,8.348
14900,7.059,9.755,1064.76,8.064,746.697,8.301
15000,12.22,15.25,1059.66,10.184,775.662,23.164
15100,12.306,16.759,1168.05,8.217,753.124,8.013
15200,3.751,8.265,1109.37,8.366,749.299,19.275
15300,8.146,16.426,1108.93,14.926,784.44,8.332
15400,4.009,18.548,1172.9,8.401,801.946,16.552
15500,0,24.807,1140.76,8.474,891.948,8.642
15600,9.347,25.156,1242.56,21.019,865.743,8.3
15700,0,17.585,1192.62,8.282,778.806,7.815
15800,5.382,10.659,1307.53,14.23,847.669,3.745
15900,0,24.076,1251.48,16.697,843.919,6.351
16000,0,15.457,1244.87,8.33,821.947,8.108
16100,9.599,16.19,1228.09,17.061,833.456,7.947
16200,7.63,15.577,1202.8,8.37,871.069,8.403
16300,7.742,19.63,1303.75,16.681,908.998,8.005
16400,0,7.855,1268.65,9.443,857.221,8.681
16500,0,18.247,1339.58,7.666,905.838,16.949
16600,8.975,9.848,1269.37,8.142,907.676,6.128
16700,0,18.805,1494.73,16.403,933.477,8.52
16800,5.887,16.291,1329.62,16.242,965.033,8.461
16900,4.387,20.048,1365.62,8.647,941.137,8.237
17000,18.573,14.652,1470.5,8.098,923.76,7.531
17100,8.161,16.218,1422.59,8.339,1037.07,8.762
17200,8.027,17.729,1390.86,11.007,995.697,2.616
17300,5.524,19.508,1426.65,8.299,984.509,16.683
17400,8.247,8.029,1368.97,6.089,1051.28,8.092
17500,6.76,19.563,1459.41,8.184,1045.38,16.407
17600,9.539,15.669,1417.8,11.568,1065.83,9.809
17700,12.161,17.776,1440.06,13.889,983.312,20.951
17800,6.104,10.093,1438.14,9.8,1018.98,8.122
17900,0,22.299,1523.52,16.183,1030.27,9.056
18000,6.209,23.286,1502.11,8.339,1041.22,8.316
18100,12.754,19.872,1541.6,4.112,1057.24,8.306
18200,0,16.5,1493.47,8.21,1031.22,8.394
18300,0,22.029,1579.66,8.332,1103.26,8.099
18400,7.107,16.674,1547.35,8.396,1150.3,15.951
18500,9.309,6.015,1601.36,16.971,1087.82,16.448
18600,6.507,18.782,1573.03,16.97,1150.3,11.653
18700,2.606,21.747,1623.81,8.371,1088.16,8.697
18800,7.136,19.309,1731.23,8.306,1188.16,8.312
18900,1.866,22.048,1559.99,16.253,1122.33,11.572
19000,2.004,14.426,1667.34,8.536,1153.89,17.782
19100,8.365,8.242,1674.16,10.436,1130.92,5.09
19200,8.286,23.977,1783.16,16.647,1575.94,15.23
19300,7.402,16.145,2019.95,9.42,1269.01,8.402
19400,12.485,14.307,1725.01,8.481,1188.21,8.723
19500,9.362,20.199,1754.25,17.599,1243.9,8.341
19600,0,26.784,1841.75,8.226,1264.91,16.523
19700,4.008,17.171,1757.81,8.618,1199.5,8.318
19800,9.143,13.382,1795.04,16.389,1324.33,16.055
19900,7.762,25.027,1727.64,16.839,1261.87,16.309
20000,8.916,15.589,1894.2,24.165,1354.27,8.365
20100,8.991,9.83,1928.06,11.909,1297.87,8.355
20200,3.757,14.424,1793.76,9.987,1343.26,8.297
20300,9.546,22.802,2066.3,16.259,1377.17,16.529
20400,8.348,13.277,1961.57,16.644,1344.95,14.145
20500,16.271,16.708,1920.51,8.164,1304.44,8.246
20600,4.478,20.371,1941.06,8.374,1346.45,8.398
20700,6.136,16.163,2067.41,8.438,1541.04,8.396
20800,0,27.05,1997.77,16.251,1435.83,16.264
20900,4.008,17.905,2092.75,11.998,1341.1,16.689
21000,5.251,16.667,1939.57,16.335,1512.91,12.357
21100,6.609,18.406,2015.2,21.324,1571.57,16.403
21200,7.891,22.108,1962.96,15.841,1423.92,16.63
21300,10.885,13.851,2022.52,16.844,1429.04,6.247
21400,7.462,23.596,2321.43,15.872,1541.21,8.17
21500,9.294,21.387,2102.72,8.887,1517.5,20.671
21600,6.754,17.415,2277.83,16.539,1581.95,12.831
21700,7.288,11.107,2264.44,18.062,1556.32,8.61
21800,10.6,22.448,2135.22,8.386,1539.83,16.457
21900,4.008,14.112,2188.23,6.788,1519.74,15.274
22000,2.379,16.309,2086.41,8.728,1535.46,10.02
22100,0,30.893,2269.16,8.366,1583.85,8.369
22200,9.069,18.185,2239.37,8.23,1532.79,16.713
22300,8.549,16.449,2259.61,16.661,1617.39,8.418
22400,8.305,27.053,2179.42,13.249,1669.84,16.877
22500,5.613,19.113,2248.16,12.481,1595.84,14.721
22600,8.267,14.48,2289.61,8.119,1580.33,16.502
22700,10.537,20.012,2401.8,16.99,1726.03,16.606
22800,5.041,24.458,2344.11,13.239,1627.29,8.832
22900,9.029,12.11,2294.05,16.415,1832.97,18.136
23000,10.613,21.857,2309.56,8.094,1691.23,16.992
23100,8.918,24.229,2388.72,16.349,1636.04,16.624
23200,0,29.346,2409.38,16.227,1666.76,8.365
23300,1.002,24.941,2343.42,16.617,1673.17,8.233
23400,7.779,18.695,2311.26,16.749,1743.54,10.507
23500,10.532,25.018,2278.19,8.102,1705.99,15.828
23600,0,35.278,2388.68,17.73,1708.3,16.723
23700,14.371,20.045,2379.77,16.396,1861.4,16.786
23800,0,33.18,2475.87,16.787,1716.06,18.095
23900,6.636,18.332,2478.13,7.571,2151.11,23.789
24000,9.765,24.055,3223.15,8.465,2075.47,41.712
24100,10.198,27.205,2823.69,17.003,1828.6,16.712
24200,6.228,26.036,2427.12,16.673,1788.98,16.339
24300,10.162,24.768,2514.39,11.874,1906.26,8.375
24400,13.152,19.295,2471.09,25.047,1799.38,14.92
24500,15.313,22.927,2564.34,13.941,1951.1,8.448
24600,8.916,17.552,2583.48,8.278,2022.5,16.76
24700,8.825,23.176,2547.49,14.224,1838.26,16.659
24800,6.876,24.112,3369.89,18.829,2401.33,16.984
24900,8.401,16.956,2796.08,16.354,1962.31,8.016
25000,8.408,20.91,2610.84,15.852,2061.03,8.013
25100,20.085,22.672,2596.34,8.18,1960.76,22.532
25200,15.078,26.031,2825.47,15.78,2058.16,8.421
25300,13.311,19.979,2776.3,8.348,2059.61,11.35
25400,17.197,15.546,2870.24,16.558,2009.35,8.258
25500,8.424,24.845,2810.72,17.16,2022.93,16.37
25600,6.724,17.708,2661.83,22.719,2047.04,8.327
25700,7.523,21.896,3344.17,16.423,2064.93,20.419
25800,9.658,19.017,2841,16.376,2070.67,16.701
25900,6.016,16.55,2820.43,16.718,2163.73,19.307
26000,8.341,13.965,2844.21,14.522,2180.89,20.273
26100,8.182,16.52,2844.28,8.472,2046.87,17.593
26200,11.658,20.673,2941.52,22.874,2253.11,8.406
26300,6.386,22.88,2858.63,16.828,2146.38,22.622
26400,13.362,21.048,2870.3,16.218,2092.24,16.833
26500,5.517,23.215,2944.81,16.024,2367.42,16.597
26600,2.913,22.013,2923.14,12.114,2172.64,8.349
26700,12.848,27.062,2947.65,18.442,2136.62,14.104
26800,8.706,26.64,2952.79,16.725,2302.89,24.183
26900,8.214,17.978,3027.3,16.558,2324.58,16.769
27000,10.151,22.438,3134.22,16.275,2212.97,18.487
27100,3.843,24.814,2999.83,16.507,2244.3,8.391
27200,16.08,24.422,2961.64,8.325,2270.4,16.737
27300,10.345,22.98,3065.26,16.239,2483.72,16.225
27400,8.088,18.564,3150.66,25.039,2254.77,12.027
27500,7.322,14.776,3131.61,16.393,2371.27,15.303
27600,11.759,18.268,3047.07,15.723,2474.53,16.662
27700,8.645,33.493,3258.47,16.738,2412.03,15.745
27800,8.006,24.677,3113.01,10.088,2425.35,16.689
27900,10.224,24.819,3130.61,8.02,2392.86,22.529
28000,13.938,22.856,3150.28,16.355,2415.34,16.308
28100,16.912,22.944,3179.83,15.136,2427.47,17.307
28200,8.387,25.453,3163.52,16.409,2380.19,13.642
28300,8.474,22.477,3182.66,16.727,2350.99,16.923
28400,0,32.285,3334.87,10.361,2370.97,16.148
28500,5.261,31.567,3294.31,16.734,2453.36,16.042
28600,8.336,22.309,3386.96,16.206,2544.16,25.109
28700,8.387,26.027,3565.59,18.257,2471.06,16.871
28800,16.843,24.945,3333.44,18.798,2506.33,19.092
28900,9.681,20.196,3371.7,22.899,2520.98,15.823
29000,15.19,23.672,3292.6,16.961,2669.6,16.948
29100,12.585,34.683,3412.49,15.832,2547.35,16.504
29200,7.994,16.61,3415.3,16.205,2536.6,16.52
29300,0,32.913,3398.69,23.843,2506.35,18.166
29400,7.258,22.226,3645.16,8.201,2631.08,16.766
29500,8.419,22.493,3382.01,19.323,2785.36,16.692
29600,7.731,24.708,3584.08,22.324,2632.28,16.746
29700,5.751,24.355,3658.81,16.173,2604.87,15.779
29800,11.64,26.011,3580.09,16.553,2662.61,16.018
29900,8.237,29.949,3629.53,16.486,2650.94,15.953
30000,11.669,16.512,3610.01,17.109,2782.41,15.707
30100,8.351,16.658,3654.92,32.823,3038.77,16.109
30200,12.045,37.667,4012.24,16.75,2848.32,16.209
30300,10.208,21.874,3652.17,16.08,2840.81,25.091
30400,15.639,23.765,3671.76,16.433,2799.18,16.683
30500,16.557,23.568,3722.99,19.807,2737.75,16.428
30600,8.054,24.26,3694.24,16.43,2769.33,16.784
30700,7.014,29.457,3632.42,17.223,2691.65,16.775
30800,7.33,24.275,3638.52,25.176,3263.47,18.902
30900,9.045,23.814,3798,16.802,2747.3,15.539
31000,8.157,24.487,3864.95,16.684,2777.2,32.757
31100,11.976,39.822,4213.49,16.697,3169.06,16.338
31200,12.758,24.445,3755.35,22.995,2856.76,16.649
31300,8.022,25.886,3797.41,16.476,2861.61,24.664
31400,16.472,25.389,3833.56,23.987,2899.61,22.332
31500,8.582,25.575,3802.44,16.714,2883.26,16.754
31600,11.776,25.465,3807.04,16.519,2912.92,18.728
31700,6.301,35.01,3890.93,15.71,2988.32,25.886
31800,13.726,22.815,4042.82,32.895,2929.21,24.725
31900,7.582,24.576,4022.72,18.423,2953.24,16.565
32000,8.186,25.568,3916.73,17.741,2969.8,25.39
32100,7.773,31.596,4080.16,16.628,3256.29,16.384
32200,6.743,30.694,3884.8,25.044,3135.17,24.358
32300,8.343,27.691,3991.28,25.269,3034.08,15.664
32400,14.863,28.535,4035.79,20.351,3169.29,24.518
32500,4.495,30.652,3999.91,24.415,3062.61,24.804
32600,5.063,24.235,4006.39,16.567,3240.18,24.72
32700,9.967,22.416,4193.94,16.312,3146.51,23.987
32800,13.045,25.305,4092.89,16.737,3153.32,16.744
32900,14.167,34.387,4233.19,16.633,3114.74,16.709
33000,12.953,20.28,4172.21,23.845,3208.27,16.675
33100,13.774,20.645,4108.07,12.837,3163.5,24.536
33200,14.105,18.213,4133.22,33.055,3183.43,16.53
33300,16.906,28.075,4246.91,16.635,3117.97,25.008
33400,16.756,25.24,4156.39,16.701,3219.37,16.79
33500,12.124,23.627,4418.4,16.501,3235.06,16.944
33600,14.892,28.533,4238.65,17.294,3158.56,19.696
33700,9.714,26.993,4314.08,16.163,3257.72,16.264
33800,11.341,31.575,4340.05,16.688,3413.46,16.835
33900,8.088,24.462,4447.54,16.218,3351.11,32.772
34000,12.132,24.962,4299.66,23.801,3230.75,20.695
34100,8.744,23.799,4298.43,16.583,3359.02,16.504
34200,3.75,30.933,4330.62,16.743,3436.41,20.628
34300,8.078,16.275,4359.59,24.585,3443.12,18.67
34400,15.665,27.513,4414.72,16.377,3470.8,16.6
34500,16.807,23.006,4403.6,20.921,3496.09,24.12
34600,20.452,29.077,4433.13,16.696,3416.58,23.419
34700,9.514,29.831,4473.93,23.742,3512.03,16.897
34800,8.334,34.296,4470.76,17.561,3417.13,23.556
34900,8.139,34.334,4564.17,18.198,3516.57,24.505
35000,8.936,32.194,4504.98,26.664,3612.12,24.727
35100,11.811,24.503,4563.87,24.75,3551.84,16.588
35200,11.806,23.887,4634.64,16.761,3461.69,19.913
35300,11.028,33.317,4601.17,17.128,3650.41,16.745
35400,11.96,34.499,4704.4,21.214,3524.38,16.39
35500,13.728,24.996,4676.19,20.707,3534.72,15.924
35600,10.129,34.846,4643.84,16.639,3610.96,24.923
35700,10.438,31.362,4681.32,26.542,3685.29,20.271
35800,13.284,19.808,4633.39,16.613,3566.45,24.626
35900,8.303,35.944,4774.15,16.309,3641.18,32.317
36000,5.387,32.789,4793.9,20.367,3602.56,20.4
36100,16.048,24.978,4732.77,16.669,3597.04,32.977
36200,8.847,30.826,4880.47,14.276,3726.86,16.78
36300,13.052,40.001,4780.93,16.16,3769.29,16.137
36400,11.823,27.917,4860.18,24.918,3790.93,16.848
36500,7.819,23.845,4792.74,16.762,3708.7,24.544
36600,8.244,24.191,4987.28,26.731,3721.81,24.989
36700,5.74,35.082,4738.75,22.934,3792.01,24.996
36800,12.712,20.67,4947.88,16.702,3749.46,22.049
36900,6.044,31.452,5080.45,19.419,3848.98,16.431
37000,19.195,35.928,5010.33,24.903,3819.18,21.318
37100,10.362,26.26,4873.25,24.867,3810.68,16.684
37200,8.208,32.219,4902.91,16.795,3839.97,16.76
37300,10.16,31.139,5231.94,20.18,3883.28,16.217
37400,10.373,33.577,5130.89,24.747,4086.07,34.523
37500,16.889,28.202,5507.98,16.676,4399.85,30.611
37600,8.42,36.312,5068.65,14.29,4015.87,17.558
37700,6.008,24.776,5197.33,16.412,4117.15,20.753
37800,13.385,27.487,5175.73,25.495,4030.39,25.042
37900,8.971,23.261,5436.49,24.896,4075.03,17.094
38000,9.164,16.899,5471.21,21.293,4228.56,24.918
38100,7.169,33.257,5383.24,26.171,4001.48,32.631
38200,10.455,24.91,5160.39,24.927,4219.45,21.805
38300,12.156,24.624,5303.41,24.46,4131.96,22.392
38400,13.014,24.746,5253.34,25.064,4129.56,21.676
38500,10.026,33.727,5277.91,30.626,4116.73,25.018
38600,17.305,32.777,5206.1,30.592,4140.1,30.947
38700,15.434,30.301,5407.25,45.243,4171.15,24.633
38800,14.211,31.569,5326.81,22.55,4180.43,21.102
38900,16.459,32.349,5161.08,25.061,4236.75,25.733
39000,8.414,24.929,5357.03,16.509,4303.99,16.567
39100,8.265,34.445,5350.25,24.933,4509.97,15.722
39200,16.412,25.013,5917.14,25.186,4345.46,25.36
39300,6.313,30.574,5716.59,25.392,4414.86,25.05
39400,12.368,31.166,5527.95,25.034,4285.16,31.926
39500,19.605,32.437,5442.44,40.354,4237.99,25.574
39600,8.194,32.771,5441.46,25.44,4421.94,24.946
39700,11.843,36.759,5512.3,23.489,4464.51,27.719
39800,10.356,22.39,5526.29,22.851,4349.06,24.635
39900,10.084,35.047,5614.45,30.16,4473.93,24.989
40000,8.972,32.343,5551.74,24.977,4505.83,22.871
40100,8.915,26.041,5757.3,24.466,4345.8,16.434
40200,9.613,28.72,5603.5,33.377,4525.38,18.388
40300,16.258,25.041,5614.02,16.68,4561.03,17.435
40400,15.293,30.822,5680.22,30.334,4795.44,25.137
40500,10.517,33.329,5863.96,33.374,4623.14,25.061
40600,8.588,25.382,5701.1,21.023,4466.16,26.274
40700,15.672,28.284,5699.95,24.973,4456.13,25.137
40800,8.046,32.947,5804.18,24.577,4523.03,24.789
40900,15.631,23.993,5736.49,24.487,4514.05,25.867
41000,16.594,27.823,5887.19,16.177,4597.14,48.145
41100,15.042,33.456,5967.8,16.649,4668.23,22.177
41200,14.462,33.011,5748.13,31.437,4536.14,16.711
